"occurrenceStatus","geometry"
"ABSENT",c(-79.8750037275241, -9.9250006789928)
"ABSENT",c(113.475000862357, 6.0249991857598)
"ABSENT",c(-135.575005049771, 2.17499921840573)
"ABSENT",c(108.975000755533, 8.47499916498513)
"ABSENT",c(-78.2250036883552, -32.9250004839652)
"ABSENT",c(-92.8250040349405, 13.2249991247077)
"ABSENT",c(60.5249996053922, 14.3249991153803)
"ABSENT",c(95.9250004457429, -28.1750005242426)
"ABSENT",c(-154.875005507928, 27.1249990068432)
"ABSENT",c(174.775002317541, -36.175000456407)
"ABSENT",c(-131.375004950068, -38.3250004381761)
"ABSENT",c(-156.125005537602, -3.92500072986957)
"ABSENT",c(113.92500087304, -34.9750004665823)
"ABSENT",c(-1.32500186284761, 1.02499922815711)
"ABSENT",c(94.4750004113218, -17.5250006145489)
"ABSENT",c(-133.075004990424, 0.474999232820814)
"ABSENT",c(75.0249999496037, 5.32499919169543)
"ABSENT",c(159.625001957899, 9.67499915480978)
"ABSENT",c(-39.2250027625451, 40.5749988927944)
"ABSENT",c(153.275001807159, -3.97500072944559)
"ABSENT",c(87.9750002570201, -15.925000628116)
"ABSENT",c(-89.9250039660982, -0.575000758275756)
"ABSENT",c(-158.425005592201, 38.4749989106013)
"ABSENT",c(95.3250004314997, -33.6250004780296)
"ABSENT",c(80.6250000825405, -32.475000487781)
"ABSENT",c(-137.275005090127, 41.8249988821951)
"ABSENT",c(148.875001702708, 12.8749991276755)
"ABSENT",c(-110.975004465798, -2.47500074216478)
"ABSENT",c(-161.825005672912, 15.7749991030851)
"ABSENT",c(-159.875005626622, -34.0750004742138)
"ABSENT",c(-111.92500448835, -1.27500075234013)
"ABSENT",c(-86.6750038889474, 20.4749990632316)
"ABSENT",c(67.5249997715633, -0.62500075785178)
"ABSENT",c(-65.8250033939951, 12.8249991280995)
"ABSENT",c(43.1749991935255, -6.0250007120627)
"ABSENT",c(36.9249990451584, 24.7249990271939)
"ABSENT",c(88.875000278385, -40.2250004220652)
"ABSENT",c(163.575002051667, 1.77499922179751)
"ABSENT",c(-25.7750024432593, 15.574999104781)
"ABSENT",c(76.4249999828379, -24.9250005518009)
"ABSENT",c(-167.525005808223, 10.4749991480262)
"ABSENT",c(-157.62500557321, -27.5250005297543)
"ABSENT",c(-35.7750026806465, 35.3749989368876)
"ABSENT",c(151.975001776298, 22.5249990458487)
"ABSENT",c(-28.37500250498, 30.7749989758932)
"ABSENT",c(-1.92500187709084, -30.4750005047399)
"ABSENT",c(-73.4250035744093, -34.0750004742138)
"ABSENT",c(93.6750003923308, -5.92500071291065)
"ABSENT",c(83.1250001418873, -21.5750005802071)
"ABSENT",c(49.9249993537618, 12.3749991319152)
"ABSENT",c(-177.025006033741, -16.8750006200606)
"ABSENT",c(88.0250002582071, -17.675000613277)
"ABSENT",c(-2.2750018853994, -15.7250006298119)
"ABSENT",c(-176.975006032554, 38.1749989131452)
"ABSENT",c(-137.175005087753, 16.8249990941816)
"ABSENT",c(-58.2250032135808, 41.4749988851629)
"ABSENT",c(125.1750011401, -6.37500070909488)
"ABSENT",c(-48.5250029833152, 9.87499915311388)
"ABSENT",c(-110.175004446807, -14.1250006433791)
"ABSENT",c(104.1250006404, 7.22499917558445)
"ABSENT",c(-37.9250027316848, 19.7249990695912)
"ABSENT",c(19.4749986309178, 32.0749989648699)
"ABSENT",c(-171.025005891308, 6.97499917770432)
"ABSENT",c(-35.2750026687771, -34.9750004665823)
"ABSENT",c(-75.8250036313823, -16.6250006221804)
"ABSENT",c(72.8249998973785, -0.325000760395618)
"ABSENT",c(146.425001644548, 24.4749990293138)
"ABSENT",c(11.0249984303256, -32.8250004848132)
"ABSENT",c(-131.525004953629, 37.7749989165369)
"ABSENT",c(-12.1250021192258, -10.325000675601)
"ABSENT",c(-104.725004317431, 18.0749990835823)
"ABSENT",c(90.6750003211146, -20.5250005891105)
"ABSENT",c(94.7750004184434, -15.2750006336277)
"ABSENT",c(-173.77500595659, -6.87500070485515)
"ABSENT",c(-31.8250025868786, -35.1750004648864)
"ABSENT",c(-82.8250037975533, -39.2750004301206)
"ABSENT",c(-119.475004667577, -27.3750005310262)
"ABSENT",c(37.9749990700841, -36.5750004530152)
"ABSENT",c(-166.825005791606, -28.6250005204269)
"ABSENT",c(-42.7250028456306, 28.7749989928521)
"ABSENT",c(-107.325004379152, -40.4250004203693)
"ABSENT",c(-179.225006085966, -17.4750006149729)
"ABSENT",c(-61.0750032812361, 18.5249990797666)
"ABSENT",c(-178.525006069349, 23.4249990382172)
"ABSENT",c(-36.975002709133, 7.57499917261664)
"ABSENT",c(-132.875004985676, 24.1249990322816)
"ABSENT",c(-158.175005586266, 40.5249988932184)
"ABSENT",c(15.424998534776, -37.3250004466556)
"ABSENT",c(-70.8750035138756, -18.5250006060694)
"ABSENT",c(-62.1750033073487, 25.5249990204103)
"ABSENT",c(120.875001038024, 0.174999235364652)
"ABSENT",c(-72.3250035482967, 15.8749991022371)
"ABSENT",c(-163.625005715642, 25.7249990187144)
"ABSENT",c(139.175001472443, -11.4750006658496)
"ABSENT",c(0.174998172760468, -39.6750004267289)
"ABSENT",c(-132.575004978555, 35.3249989373116)
"ABSENT",c(162.925002036237, 34.5749989436712)
"ABSENT",c(166.47500212051, -4.47500072520586)
"ABSENT",c(-160.675005645613, 30.0249989822528)
"ABSENT",c(135.125001376301, 17.424999089094)
"ABSENT",c(-49.1250029975584, 20.5249990628076)
"ABSENT",c(-172.375005923356, 12.5249991306433)
"ABSENT",c(-53.1750030937003, 15.2249991077488)
"ABSENT",c(-19.4750022937054, 4.62499919763105)
"ABSENT",c(-126.575004836122, 2.37499921670984)
"ABSENT",c(115.675000914583, -5.17500071927024)
"ABSENT",c(10.5249984184562, 43.1249988711718)
"ABSENT",c(-170.225005872317, 17.6749990869741)
"ABSENT",c(89.6750002973759, 11.5749991386988)
"ABSENT",c(-16.5250022236762, -26.8250005356899)
"ABSENT",c(-172.575005928103, -14.025000644227)
"ABSENT",c(69.0249998071714, -27.7750005276344)
"ABSENT",c(102.225000595297, -19.2750005997098)
"ABSENT",c(7.32499834249231, -32.3750004886289)
"ABSENT",c(-152.275005446207, -29.3250005144913)
"ABSENT",c(-63.2250033322744, 30.6749989767411)
"ABSENT",c(-78.2250036883552, -19.475000598014)
"ABSENT",c(78.67500003625, -32.0250004915967)
"ABSENT",c(-160.175005633743, -31.2750004979563)
"ABSENT",c(144.025001587575, 23.6249990365213)
"ABSENT",c(-161.875005674099, 13.0749991259796)
"ABSENT",c(-43.4750028634347, 28.0249989992117)
"ABSENT",c(102.575000603605, -33.9250004754857)
"ABSENT",c(-130.52500492989, -20.3250005908064)
"ABSENT",c(68.0249997834326, -28.5250005212748)
"ABSENT",c(-145.275005280036, 41.4749988851629)
"ABSENT",c(-29.9750025429619, 16.0749991005412)
"ABSENT",c(-163.32500570852, 17.47499908867)
"ABSENT",c(131.925001300337, 30.2249989805569)
"ABSENT",c(-135.275005042649, 2.32499921713381)
"ABSENT",c(169.375002189352, -14.1750006429551)
"ABSENT",c(-24.5750024147729, -26.0250005424735)
"ABSENT",c(45.3249992445637, -0.975000754883972)
"ABSENT",c(-35.1750026664033, -22.2750005742715)
"ABSENT",c(-136.825005079444, -1.62500074937233)
"ABSENT",c(-152.025005440273, 12.5249991306433)
"ABSENT",c(-124.875004795767, -34.0250004746378)
"ABSENT",c(39.8749991151876, -32.625000486509)
"ABSENT",c(-69.2250034747067, 20.8749990598398)
"ABSENT",c(-131.625004956003, -38.02500044072)
"ABSENT",c(-178.925006078844, -3.12500073665313)
"ABSENT",c(-40.825002800527, 33.5749989521507)
"ABSENT",c(40.1749991223093, -5.27500071842229)
"ABSENT",c(141.275001522294, 20.6749990615357)
"ABSENT",c(-122.52500473998, 20.7249990611117)
"ABSENT",c(-131.625004956003, -6.0250007120627)
"ABSENT",c(158.825001938908, -0.425000759547672)
"ABSENT",c(74.4249999353604, -4.27500072690175)
"ABSENT",c(-2.32500188658634, -14.1250006433791)
"ABSENT",c(133.125001328823, 20.7249990611117)
"ABSENT",c(-116.975004608231, 18.4249990806145)
"ABSENT",c(-98.0750041595688, -8.92500068747226)
"ABSENT",c(-94.7250040800441, -3.87500073029354)
"ABSENT",c(-82.9750038011141, -8.32500069255994)
"ABSENT",c(57.8249995412977, -9.62500068153664)
"ABSENT",c(-31.9250025892524, 4.32499920017489)
"ABSENT",c(-136.525005072323, 35.6749989343438)
"ABSENT",c(-129.975004916834, -33.2750004809974)
"ABSENT",c(167.075002134753, 40.1749988961862)
"ABSENT",c(102.125000592923, -12.4250006577942)
"ABSENT",c(-91.0250039922108, -27.1250005331461)
"ABSENT",c(70.3749998392186, 0.574999231972868)
"ABSENT",c(52.7249994202302, -32.7750004852371)
"ABSENT",c(62.0249996410003, 2.52499921543792)
"ABSENT",c(-138.225005112678, 41.524998884739)
"ABSENT",c(-163.425005710894, -20.6750005878386)
"ABSENT",c(-143.625005240867, -10.6750006726332)
"ABSENT",c(14.1249985039156, -37.3750004462316)
"ABSENT",c(-4.12500192931603, 1.87499922094957)
"ABSENT",c(-27.5250024848021, 31.8249989669897)
"ABSENT",c(10.3749984148954, 38.3749989114493)
"ABSENT",c(76.8249999923333, -25.4750005471372)
"ABSENT",c(-48.7750029892499, 5.8249991874557)
"ABSENT",c(-20.2750023126964, 27.0749990072672)
"ABSENT",c(77.5750000101374, 0.774999230276975)
"ABSENT",c(-144.875005270541, 16.0749991005412)
"ABSENT",c(-57.8250032040853, 32.1749989640219)
"ABSENT",c(-47.4250029572026, -27.5250005297543)
"ABSENT",c(120.925001039211, -16.3250006247243)
"ABSENT",c(-50.3750030272318, 43.374998869052)
"ABSENT",c(69.1749998107322, 20.4749990632316)
"ABSENT",c(145.525001623183, 1.62499922306943)
"ABSENT",c(149.625001720512, -20.5750005886865)
"ABSENT",c(-141.125005181521, -8.67500068959212)
"ABSENT",c(2.47499822735952, -19.2250006001338)
"ABSENT",c(80.6750000837275, 1.42499922476532)
"ABSENT",c(46.4749992718632, 2.02499921967765)
"ABSENT",c(168.775002175109, 27.4749990038754)
"ABSENT",c(-79.175003710907, 22.7249990441528)
"ABSENT",c(-8.97500204444881, 40.6749988919465)
"ABSENT",c(-164.125005727511, 12.6749991293714)
"ABSENT",c(62.7249996576174, 3.52499920695846)
"ABSENT",c(168.225002162052, -17.9250006111571)
"ABSENT",c(58.8749995662234, 20.3249990645035)
"ABSENT",c(-118.225004637904, 25.6249990195624)
"ABSENT",c(115.325000906274, -17.0250006187886)
"ABSENT",c(-178.025006057479, 38.1249989135691)
"ABSENT",c(52.4749994142955, 5.62499918915159)
"ABSENT",c(1.17499819649919, -14.3250006416832)
"ABSENT",c(-98.5250041702512, 16.1249991001173)
"ABSENT",c(71.9749998772006, -34.7750004682782)
"ABSENT",c(20.2249986487218, 32.6749989597822)
"ABSENT",c(-81.6750037702538, -23.8750005607043)
"ABSENT",c(-141.62500519339, 34.9249989407034)
"ABSENT",c(-90.4250039779676, 1.3749992251893)
"ABSENT",c(75.6249999638469, 6.12499918491186)
"ABSENT",c(-111.575004480042, -5.62500071545448)
"ABSENT",c(-101.825004248589, -27.3750005310262)
"ABSENT",c(-82.9250037999272, -20.1750005920783)
"ABSENT",c(-93.97500406224, 20.8249990602638)
"ABSENT",c(-160.125005632556, -16.8750006200606)
"ABSENT",c(-8.22500202664477, -37.3250004466556)
"ABSENT",c(-171.725005907926, -22.7750005700317)
"ABSENT",c(113.425000861171, -39.4750004284247)
"ABSENT",c(129.975001254046, -1.07500075403603)
"ABSENT",c(-50.6250030331665, 23.3249990390651)
"ABSENT",c(168.075002158492, 23.9749990335535)
"ABSENT",c(156.125001874814, 22.2249990483925)
"ABSENT",c(133.925001347814, -36.9250004500474)
"ABSENT",c(-81.6750037702538, -32.7750004852371)
"ABSENT",c(-34.7250026557209, -15.825000628964)
"ABSENT",c(88.7750002760111, 12.8249991280995)
"ABSENT",c(-73.5750035779702, 15.9749991013892)
"ABSENT",c(-176.825006028993, 19.9249990678953)
"ABSENT",c(-6.97500199697137, -11.4750006658496)
"ABSENT",c(161.675002006564, -19.52500059759)
"ABSENT",c(119.625001008351, 16.5249990967255)
"ABSENT",c(-114.875004558379, 2.87499921247011)
"ABSENT",c(-71.4250035269319, 31.0749989733493)
"ABSENT",c(-87.3250039043776, -19.475000598014)
"ABSENT",c(-159.125005608818, -36.0250004576789)
"ABSENT",c(-177.675006049171, -38.7250004347843)
"ABSENT",c(-2.92500190082956, -17.2250006170927)
"ABSENT",c(-164.225005729885, 2.22499921798175)
"ABSENT",c(11.0249984303256, -19.6750005963181)
"ABSENT",c(55.0749994760162, 11.6249991382748)
"ABSENT",c(11.474998441008, 39.5749989012739)
"ABSENT",c(-79.7250037239633, -23.1250005670639)
"ABSENT",c(-140.275005161343, 36.6749989258643)
"ABSENT",c(70.0249998309101, 0.424999233244783)
"ABSENT",c(-88.6250039352379, 12.0749991344591)
"ABSENT",c(65.2749997181512, 10.8749991446344)
"ABSENT",c(156.175001876001, -37.6750004436878)
"ABSENT",c(-51.7250030592791, 6.17499918448789)
"ABSENT",c(157.925001917544, 5.72499918830364)
"ABSENT",c(-163.875005721577, 8.37499916583307)
"ABSENT",c(-102.425004262832, -33.7250004771816)
"ABSENT",c(92.6250003674052, -22.3750005734235)
"ABSENT",c(90.7750003234885, 16.9249990933337)
"ABSENT",c(-89.275003950668, 12.2749991327632)
"ABSENT",c(-30.8250025631399, 21.4249990551761)
"ABSENT",c(151.77500177155, 33.9749989487589)
"ABSENT",c(125.02500113654, 16.5749990963015)
"ABSENT",c(-108.125004398143, -22.6250005713037)
"ABSENT",c(146.925001656418, 25.3749990216822)
"ABSENT",c(-45.7750029180337, 14.7249991119885)
"ABSENT",c(99.775000537137, -33.6250004780296)
"ABSENT",c(-141.925005200512, 3.22499920950229)
"ABSENT",c(-158.375005591014, 22.3749990471206)
"ABSENT",c(145.42500162081, 1.97499922010162)
"ABSENT",c(-153.775005481815, -23.275000565792)
"ABSENT",c(-156.025005535228, -25.2250005492571)
"ABSENT",c(-177.425006043236, 6.77499917940021)
"ABSENT",c(102.875000610727, -16.9250006196366)
"ABSENT",c(147.625001673035, 2.77499921331805)
"ABSENT",c(75.3249999567253, -31.2250004983803)
"ABSENT",c(-146.425005307336, -25.5250005467132)
"ABSENT",c(8.97499838166121, -16.4750006234523)
"ABSENT",c(-106.975004370843, -8.92500068747226)
"ABSENT",c(-145.075005275289, -6.97500070400721)
"ABSENT",c(168.725002173922, 30.8249989754692)
"ABSENT",c(-79.3750037156547, -19.7250005958941)
"ABSENT",c(-83.0250038023011, -34.1750004733659)
"ABSENT",c(-110.62500445749, -34.37500047167)
"ABSENT",c(81.9250001134009, -12.9750006531304)
"ABSENT",c(-171.725005907926, 10.2749991497221)
"ABSENT",c(98.175000499155, -39.3250004296967)
"ABSENT",c(-101.675004245028, -36.8250004508953)
"ABSENT",c(-26.1250024515679, 4.12499920187078)
"ABSENT",c(-81.9750037773754, -2.42500074258876)
"ABSENT",c(92.4250003626574, -38.5250004364802)
"ABSENT",c(-141.475005189829, -7.77500069722364)
"ABSENT",c(-81.0750037560105, -34.0750004742138)
"ABSENT",c(-29.3250025275318, -29.6250005119474)
"ABSENT",c(16.924998570384, 43.1749988707478)
"ABSENT",c(-25.4750024361377, 26.4249990127788)
"ABSENT",c(91.8250003484142, 10.8749991446344)
"ABSENT",c(154.175001828523, 22.4249990466967)
"ABSENT",c(53.6249994415951, 0.674999231124922)
"ABSENT",c(145.42500162081, -3.22500073580519)
"ABSENT",c(19.3749986285439, -37.5750004445357)
"ABSENT",c(-73.0250035649138, 23.2249990399131)
"ABSENT",c(-152.625005454516, 42.6249988754116)
"ABSENT",c(-178.67500607291, 14.6249991128364)
"ABSENT",c(-93.9250040610531, 6.97499917770432)
"ABSENT",c(146.575001648109, 18.9749990759508)
"ABSENT",c(37.5249990594017, -33.2250004814214)
"ABSENT",c(167.425002143061, -10.8750006709373)
"ABSENT",c(-17.4750022462279, 10.7749991454824)
"ABSENT",c(165.875002106266, -31.0750004996522)
"ABSENT",c(168.92500217867, 5.57499918957556)
"ABSENT",c(-97.4750041453256, -20.7750005869907)
"ABSENT",c(-19.1750022865838, 4.02499920271872)
"ABSENT",c(-9.87500206581367, 30.2249989805569)
"ABSENT",c(143.525001575706, 13.1249991255556)
"ABSENT",c(-160.22500563493, -16.2750006251482)
"ABSENT",c(175.27500232941, -16.3750006243003)
"ABSENT",c(-30.6250025583921, -14.3750006412592)
"ABSENT",c(40.6249991329917, -7.17500070231132)
"ABSENT",c(-149.575005382113, 36.4249989279842)
"ABSENT",c(-146.375005306149, -17.0250006187886)
"ABSENT",c(126.725001176895, 7.97499916922486)
"ABSENT",c(-11.8250021121042, 28.9249989915802)
"ABSENT",c(112.12500083031, -35.6250004610707)
"ABSENT",c(93.0250003769007, -7.97500069552775)
"ABSENT",c(125.1750011401, 31.9249989661418)
"ABSENT",c(-120.825004699625, -38.3750004377521)
"ABSENT",c(-28.4250025061669, -2.1250007451326)
"ABSENT",c(-32.1750025951871, -13.0750006522825)
"ABSENT",c(78.3250000279414, -6.07500071163872)
"ABSENT",c(162.22500201962, -27.1750005327221)
"ABSENT",c(-87.77500391506, 26.3749990132028)
"ABSENT",c(24.5249987507983, -34.6750004691262)
"ABSENT",c(-123.67500476728, -23.0250005679119)
"ABSENT",c(70.6249998451533, 0.474999232820814)
"ABSENT",c(-129.925004915647, 32.2249989635979)
"ABSENT",c(-19.9250023043878, -19.8750005946222)
"ABSENT",c(1.07499819412533, -3.32500073495724)
"ABSENT",c(-138.175005111491, 37.824998916113)
"ABSENT",c(-7.57500201121462, 3.92499920356667)
"ABSENT",c(-46.2250029287162, 6.67499918024816)
"ABSENT",c(-149.225005373804, -25.8750005437454)
"ABSENT",c(43.9249992113295, -16.2250006255722)
"ABSENT",c(123.475001099745, 37.1249989220486)
"ABSENT",c(-105.625004338796, -18.9750006022537)
"ABSENT",c(-153.125005466385, 26.724999010235)
"ABSENT",c(-131.275004947694, 37.5749989182328)
"ABSENT",c(88.2750002641417, -19.3250005992859)
"ABSENT",c(172.075002253446, -36.175000456407)
"ABSENT",c(-52.0250030664007, 9.57499915565772)
"ABSENT",c(175.575002336532, -11.1250006688174)
"ABSENT",c(-7.62500201240155, -21.6750005793591)
"ABSENT",c(-134.575005026032, -11.1750006683935)
"ABSENT",c(-82.0750037797493, 2.07499921925368)
"ABSENT",c(-160.625005644426, -16.1250006264201)
"ABSENT",c(-165.325005755998, -1.32500075191616)
"ABSENT",c(-172.275005920982, -5.67500071503051)
"ABSENT",c(101.675000582241, -36.225000455983)
"ABSENT",c(-25.7750024432593, -27.3250005314502)
"ABSENT",c(143.775001581641, 20.7749990606878)
"ABSENT",c(153.175001804785, 18.1249990831583)
"ABSENT",c(154.525001836832, 0.674999231124922)
"ABSENT",c(167.375002141875, -17.3750006158208)
"ABSENT",c(-129.725004910899, 25.7249990187144)
"ABSENT",c(171.425002238016, -5.72500071460654)
"ABSENT",c(171.425002238016, 40.5249988932184)
"ABSENT",c(-179.375006089527, -24.4250005560406)
"ABSENT",c(155.975001871253, -33.7250004771816)
"ABSENT",c(169.125002183417, 8.67499916328924)
"ABSENT",c(-149.575005382113, -18.3750006073414)
"ABSENT",c(-168.525005831962, 10.4749991480262)
"ABSENT",c(59.7749995875882, 4.52499919847899)
"ABSENT",c(107.575000722299, -35.2750004640385)
"ABSENT",c(-85.425003859274, 2.02499921967765)
"ABSENT",c(-119.525004668764, -25.9250005433214)
"ABSENT",c(127.675001199447, 12.024999134883)
"ABSENT",c(7.32499834249231, -0.875000755731918)
"ABSENT",c(-101.075004230785, -4.32500072647778)
"ABSENT",c(-151.275005422469, -13.1250006518585)
"ABSENT",c(-142.825005221877, -29.8250005102515)
"ABSENT",c(44.4749992243858, -39.5250004280008)
"ABSENT",c(-51.775003060466, 18.0749990835823)
"ABSENT",c(-17.2250022402933, -5.52500071630243)
"ABSENT",c(-48.725002988063, 30.474998978437)
"ABSENT",c(-5.27500195661557, -31.9250004924447)
"ABSENT",c(-61.8750033002271, 40.2249988957623)
"ABSENT",c(-119.92500467826, 11.0249991433625)
"ABSENT",c(-153.525005475881, 3.82499920441462)
"ABSENT",c(-0.0750018331742126, -30.1250005077077)
"ABSENT",c(44.6249992279466, -8.22500069340789)
"ABSENT",c(-148.875005365496, -35.3750004631905)
"ABSENT",c(148.775001700334, 10.4749991480262)
"ABSENT",c(-179.175006084779, 37.3249989203527)
"ABSENT",c(-135.975005059266, -29.3250005144913)
"ABSENT",c(-164.075005726324, -15.7250006298119)
"ABSENT",c(-61.3750032883578, 36.024998931376)
"ABSENT",c(117.275000952565, 11.1749991420906)
"ABSENT",c(175.575002336532, 36.5249989271363)
"ABSENT",c(168.975002179856, 37.5249989186568)
"ABSENT",c(-100.525004217729, -31.2750004979563)
"ABSENT",c(-144.425005259858, 36.5749989267123)
"ABSENT",c(148.225001687278, 18.6749990784946)
"ABSENT",c(-61.1250032824231, 17.7249990865501)
"ABSENT",c(40.1249991211223, -22.2750005742715)
"ABSENT",c(111.975000826749, -28.5250005212748)
"ABSENT",c(11.1749984338864, -26.4250005390817)
"ABSENT",c(-35.6250026770857, 11.1249991425146)
"ABSENT",c(-177.175006037302, -33.4250004797255)
"ABSENT",c(47.3249992920411, -29.9750005089796)
"ABSENT",c(-159.375005614752, -31.2750004979563)
"ABSENT",c(-81.7250037714407, -9.32500068408048)
"ABSENT",c(-82.275003784497, -21.0750005844468)
"ABSENT",c(150.225001734755, -36.3750004547111)
"ABSENT",c(-134.325005020097, 1.47499922434135)
"ABSENT",c(-131.075004942947, -5.02500072054216)
"ABSENT",c(-79.175003710907, -35.3250004636145)
"ABSENT",c(-131.17500494532, 41.3749988860109)
"ABSENT",c(-29.7750025382142, -5.52500071630243)
"ABSENT",c(-14.7750021821334, -9.97500067856883)
"ABSENT",c(139.425001478377, -0.17500076166754)
"ABSENT",c(15.6249985395237, -36.8750004504713)
"ABSENT",c(-10.1750020729353, 35.0749989394315)
"ABSENT",c(-82.275003784497, -21.1750005835989)
"ABSENT",c(-22.7250023708562, 32.6749989597822)
"ABSENT",c(136.075001398853, -7.92500069595172)
"ABSENT",c(-113.625004528706, 25.2749990225302)
"ABSENT",c(45.9249992588069, -14.7750006378674)
"ABSENT",c(131.575001292028, 12.4749991310673)
"ABSENT",c(157.82500191517, -31.6250004949885)
"ABSENT",c(-75.1750036159521, -16.9750006192126)
"ABSENT",c(-66.2750034046775, 41.524998884739)
"ABSENT",c(164.175002065911, 12.7749991285234)
"ABSENT",c(-145.975005296653, -30.2750005064358)
"ABSENT",c(47.2749992908542, -8.32500069255994)
"ABSENT",c(125.825001155531, 28.0749989987877)
"ABSENT",c(-136.325005067575, 29.5249989864925)
"ABSENT",c(-106.675004363722, -29.3750005140673)
"ABSENT",c(117.475000957312, -40.3750004207932)
"ABSENT",c(32.2249989335864, -37.1750004479275)
"ABSENT",c(142.875001560276, -2.1250007451326)
"ABSENT",c(43.7249992065817, -15.7250006298119)
"ABSENT",c(144.325001594697, -9.67500068111266)
"ABSENT",c(134.525001362058, 27.5749990030274)
"ABSENT",c(94.6750004160695, -1.47500075064424)
"ABSENT",c(36.3249990309152, -24.7750005530728)
"ABSENT",c(-132.925004986863, 4.22499920102283)
"ABSENT",c(7.22499834011845, 40.9249988898266)
"ABSENT",c(-135.125005039088, 8.82499916201731)
"ABSENT",c(-146.375005306149, -20.9750005852948)
"ABSENT",c(-137.525005096061, -8.27500069298391)
"ABSENT",c(-156.425005544723, 21.3249990560241)
"ABSENT",c(-83.075003803488, -30.9250005009241)
"ABSENT",c(-14.9250021856942, 33.7749989504548)
"ABSENT",c(108.825000751972, -39.4250004288487)
"ABSENT",c(-37.6250027245632, -15.5250006315078)
"ABSENT",c(-18.5750022723405, -31.4750004962604)
"ABSENT",c(113.675000867105, -13.2750006505866)
"ABSENT",c(-102.725004269954, -27.6250005289064)
"ABSENT",c(-20.6250023210049, -40.5250004195213)
"ABSENT",c(-177.275006039675, 39.3249989033938)
"ABSENT",c(-55.2250031423646, 8.77499916244129)
"ABSENT",c(-156.925005556592, 18.8749990767987)
"ABSENT",c(-19.5250022948923, 12.7749991285234)
"ABSENT",c(70.7249998475272, -35.6750004606467)
"ABSENT",c(-25.8750024456332, 39.0249989059376)
"ABSENT",c(78.6250000350631, -15.1750006344756)
"ABSENT",c(-115.075004563127, -15.4750006319318)
"ABSENT",c(55.0249994748293, -26.925000534842)
"ABSENT",c(-164.925005746502, -37.1250004483515)
"ABSENT",c(40.1249991211223, -36.175000456407)
"ABSENT",c(-46.2250029287162, 34.8749989411274)
"ABSENT",c(-18.5250022711536, 37.874998915689)
"ABSENT",c(-22.0250023542391, -11.3250006671216)
"ABSENT",c(-135.725005053332, -32.2750004894769)
"ABSENT",c(-32.9750026141781, -14.7750006378674)
"ABSENT",c(-6.92500199578444, -31.1250004992282)
"ABSENT",c(57.5249995341761, -12.9250006535544)
"ABSENT",c(61.4249996267571, 21.9749990505124)
"ABSENT",c(-32.1250025940002, 20.1749990657754)
"ABSENT",c(12.1749984576251, 39.5749989012739)
"ABSENT",c(-100.575004218916, 13.4749991225878)
"ABSENT",c(90.0250003056845, 20.2749990649275)
"ABSENT",c(-49.7750030129886, 22.8249990433049)
"ABSENT",c(-28.0250024966714, 43.2249988703239)
"ABSENT",c(-53.1250030925133, 31.3749989708055)
"ABSENT",c(-129.175004897843, -33.8250004763337)
"ABSENT",c(-12.2250021215997, -12.6750006556743)
"ABSENT",c(-141.575005192203, -19.8250005950461)
"ABSENT",c(-119.92500467826, -15.1750006344756)
"ABSENT",c(-22.4250023637346, 14.2749991158043)
"ABSENT",c(-91.3250039993324, -13.975000644651)
"ABSENT",c(163.425002048107, -25.3250005484091)
"ABSENT",c(25.7249987792848, 36.3749989284082)
"ABSENT",c(-18.1750022628451, -17.1750006175167)
"ABSENT",c(163.425002048107, 41.3749988860109)
"ABSENT",c(-173.325005945907, -13.975000644651)
"ABSENT",c(-76.02500363613, -36.9750004496234)
"ABSENT",c(93.0250003769007, -24.5250005551927)
"ABSENT",c(155.775001866505, -5.92500071291065)
"ABSENT",c(128.425001217251, 5.87499918703173)
"ABSENT",c(3.07499824160277, -18.1750006090373)
"ABSENT",c(-35.6750026782726, -32.9750004835412)
"ABSENT",c(102.17500059411, -8.47500069128802)
"ABSENT",c(73.4249999116217, -25.2750005488331)
"ABSENT",c(-147.625005335822, 34.7249989423993)
"ABSENT",c(108.425000742477, -3.52500073326135)
"ABSENT",c(-23.9750024005296, 21.6749990530563)
"ABSENT",c(-29.7750025382142, -16.7250006213325)
"ABSENT",c(151.575001766803, 23.6749990360973)
"ABSENT",c(-32.9750026141781, 23.6749990360973)
"ABSENT",c(10.3249984137085, -31.5750004954125)
"ABSENT",c(164.875002082528, -13.8250006459229)
"ABSENT",c(120.375001026155, -38.175000439448)
"ABSENT",c(14.7249985181589, -35.4750004623426)
"ABSENT",c(-78.9250037049723, -21.2250005831749)
"ABSENT",c(-159.5750056195, -34.0250004746378)
"ABSENT",c(-152.07500544146, -33.8750004759097)
"ABSENT",c(-40.875002801714, -0.375000759971648)
"ABSENT",c(140.825001511611, -2.17500074470862)
"ABSENT",c(-171.875005911486, -5.87500071333461)
"ABSENT",c(-169.37500585214, 40.0749988970342)
"ABSENT",c(-173.875005958964, -17.775000612429)
"ABSENT",c(-64.6250033655086, 17.9249990848542)
"ABSENT",c(-156.275005541162, -36.7750004513193)
"ABSENT",c(39.8749991151876, -5.27500071842229)
"ABSENT",c(-84.9750038485916, -19.6750005963181)
"ABSENT",c(80.3750000766058, -37.4750004453837)
"ABSENT",c(156.425001881935, -11.5250006654257)
